species,Ww_i_g,Wd_i_g,L_i_cm
Ammocrypta_beanii,2.50576,0.501153,1.26011
Ammocrypta_clara,3.77589,0.755179,1.43177
Ammocrypta_pellucida,3.91711,0.783423,1.45489
Ammodramus_aurifrons,17.7872,4.98041,0.85228
Ammodramus_savannarum,20.3795,5.70626,1.6788
Ammodytes_americanus,42.4535,8.49071,2.28008
Ammodytes_dubius,38.7305,7.7461,2.62937
Ammodytes_hexapterus,115.303,23.0606,3.95586
Ammodytes_marinus,69.3728,13.8746,3.29082
Ammodytes_personatus,63.3745,12.6749,3.54692
Ammodytes_tobianus,22.6998,4.53996,2.01536
Ammomanes_deserti,22.066,6.17848,1.6957
Ammospermophilus_harrisii,126.636,37.9909,1.9211
Ammospermophilus_leucurus,133.545,40.0634,2.0329
Ammospiza_caudacuta,19.0931,5.34606,1.4261
Ammospiza_leconteii,13.8453,3.87669,1.3225
Ammospiza_maritima,22.6175,6.33291,1.6562
Amniataba_caudavittata,399.424,79.8848,6.10114
Amolops_mantzorum,37.1912,10.4135,2.8487
Amphibalanus_amphitrite,4.75957,0.809127,1.60177
Amphilius_uranoscopus,190.634,38.1268,5.45371
Amphilophus_citrinellus,473.554,94.7108,5.9199
Amphioctopus_aegina,3605.27,757.107,9.65028
Amphioctopus_burryi,93.7984,19.6977,3.18959
Amphioctopus_fangsiao,227.33,47.7392,4.11321
Amphiprion_clarkii,74.9643,14.9929,3.75487
Amphiprion_melanopus,42.0566,8.41132,2.55737
Amphiprion_ocellaris,20.5493,4.10986,2.18941
Amphisbaena_alba,671.596,201.479,6.839
Amphispiza_bilineata,17.7056,4.95756,0.8416
Amphistichus_argenteus,1706.52,341.303,10.3628
Amphiuma_means,1171.07,327.901,6.9956
Amphiuma_tridactylum,430.156,120.444,6.5142
Amphiura_filiformis,7.03378,0.63304,1.78893
Ampullaceana_balthica,0.411953,0.061793,0.658334
Anabacerthia_striaticollis,24.6558,6.90364,1.2478
Anabas_testudineus,732.925,146.585,6.88267
Anabazenops_dorsalis,34.7833,9.73931,1.203
Anablepsoides_hartii,12.1775,2.4355,2.06305
Anadia_bogotensis,3.66428,1.09928,0.94865
Anaecypris_hispanica,4.22279,0.844559,1.05448
Anairetes_parulus,6.18237,1.73106,0.51584
Anarhichas_denticulatus,31655.5,6331.1,17.0844
Anarhichas_lupus,17798.5,3559.69,23.1901
Anarhichas_minor,27869.7,5573.93,23.864
Anas_acuta,687.275,192.437,2.237
Anas_aucklandica,407.152,114.003,3.0962
Anas_castanea,608.862,170.481,3.4987
Anas_chlorotis,409.961,114.789,3.113
Anas_crecca,281.405,78.7934,2.3816
Anas_diazi,1281.33,358.772,2.8338
Anas_gracilis,448.856,125.68,1.9885
Anas_nesiotis,418.906,117.294,2.8675
Anas_platyrhynchos,1113.49,311.777,6.2067
Anas_rubripes,1101.96,308.548,2.9568
Anas_sparsa,936.428,262.2,3.6255
Anatololacerta_anatolica,7.9976,2.39928,1.7097
Anatololacerta_danfordi,6.80625,2.04187,1.7847
Anaxyrus_americanus,118.528,33.1879,4.2084
Anaxyrus_baxteri,43.025,12.047,0.7233
Anaxyrus_boreas,93.2387,26.1068,3.1801
Anaxyrus_californicus,171.914,48.1358,2.0181
Anaxyrus_cognatus,44.406,12.4337,2.4606
Anaxyrus_fowleri,60.0986,16.8276,1.7465
Anchoa_hepsetus,29.4451,5.88901,2.30058
Anchoa_mitchilli,7.76474,1.55295,1.70516
Anchoa_nasus,36.1856,7.23713,2.95078
Anchoa_panamensis,48.4288,9.68577,3.02826
Anchoa_tricolor,24.5513,4.91027,2.44948
Anchovia_surinamensis,44.6026,8.92052,3.13439
Anchoviella_guianensis,13.1827,2.63654,1.52938
Ancistrocheirus_lesueurii,175836.0,36925.6,43.8646
Ancistrops_strigilatus,35.8912,10.0495,2.3184
Ancylus_fluviatilis,0.0225575,0.00338362,0.248314
Andigena_hypoglauca,296.958,83.1482,2.8548
Andrias_davidianus,31083.3,8703.32,20.9926
Andrias_japonicus,34868.5,9763.18,30.2267
Aneides_aeneus,7.23458,2.02568,1.5896
Aneides_flavipunctatus,13.0936,3.66622,1.8865
Aneides_lugubris,22.6047,6.32933,2.697
Anguilla_anguilla,3439.24,687.849,11.9437
Anguilla_japonica,3744.65,748.93,8.0414
Anguilla_marmorata,10976.3,2195.26,14.6394
Anguilla_mossambica,8293.77,1658.75,16.7073
Anguilla_nebulosa,6790.33,1358.07,14.2863
Anguilla_rostrata,6812.39,1362.48,6.647
Anguis_fragilis,40.7472,12.2242,2.809
Angustassiminea_castanea,0.00289364,0.000434046,0.141764
Anhinga_anhinga,1279.57,358.28,4.0296
Anhinga_rufa,1558.97,436.511,5.1131
Anisarchus_medius,71.3231,14.2646,3.44543
Anisognathus_igniventris,32.7326,9.16512,1.0189
Anisotremus_interruptus,4257.5,851.499,11.7447
Anisotremus_surinamensis,9388.1,1877.62,13.4112
Anniella_pulchra,5.11552,1.53466,1.5712
Anodonta_anatina,42.7611,3.8485,3.23324
Anodonta_cygnea,201.735,18.1562,3.064
Anodontites_trapesialis,403.725,36.3352,4.89259
Anodontostoma_chacunda,120.927,24.1854,3.00557
Anolis_acutus,2.70897,0.812692,1.0302
Anolis_carolinensis,4.59364,1.37809,1.4941
Anolis_gundlachi,3.02657,0.907971,1.129
Anolis_nebulosus,1.75287,0.52586,1.0106
Anolis_opalinus,2.04051,0.612152,0.83127
Anolis_sagrei,2.46822,0.740465,1.0003
Anoplopoma_fimbria,17532.1,3506.42,4.79515
Anoura_caudifer,11.2998,3.38995,0.78712
Anoura_latidens,18.2583,5.47749,0.70614
Anous_cerulea,57.5428,16.112,2.1074
Anous_minutus,116.285,32.5599,2.7617
Anous_stolidus,256.79,71.9012,2.9207
Anous_tenuirostris,111.773,31.2965,2.3518
Anoxypristis_cuspidata,684052.0,136810.0,30.4865
Anser_anser,4843.66,1356.22,3.1299
Anser_caerulescens,2361.87,661.323,3.7988
Anser_canagicus,2742.38,767.865,4.4163
Antechinomys_laniger,30.3784,9.11352,1.2394
Antechinus_agilis,37.9831,11.3949,1.81
Antechinus_flavipes,44.9216,13.4765,1.3826
Antechinus_leo,54.553,16.3659,1.5394
Antechinus_stuartii,35.0814,10.5244,1.4649
Antechinus_swainsonii,64.5159,19.3548,2.293
Anthobaphes_violacea,8.85322,2.4789,1.311
Anthracoceros_malayanus,1062.93,297.621,4.2758
Anthreptes_orientalis,10.307,2.88596,0.81363
Anthus_campestris,10.3281,2.89186,0.87687
Anthus_hellmayri,18.8231,5.27046,1.5373
Anthus_pratensis,19.8564,5.55978,1.4995
Anthus_rubescens,20.3589,5.70049,1.4646
Anthus_rufulus,31.6958,8.87484,1.1585
Anthus_spinoletta,20.0472,5.61323,1.3894
Anthus_spragueii,23.7222,6.64221,1.482
Anthus_trivialis,25.0533,7.01493,0.75569
Antidorcas_marsupialis,35257.4,10577.2,28.3101
Antigone_antigone,7551.39,2114.39,6.7139
Antigone_canadensis,4115.97,1152.47,6.9465
Antigone_rubicunda,5736.85,1606.32,7.0054
Antigone_vipio,4686.31,1312.17,6.239
Antilocapra_americana,46726.4,14017.9,31.9421
Antimora_microlepis,5575.93,1115.19,12.9096
Antimora_rostrata,4578.76,915.751,11.8142
Antrostomus_vociferus,58.4362,16.3621,1.6902
Antrozous_pallidus,20.816,6.24481,1.0641
Anyperodon_leucogrammicus,3315.01,663.001,13.3972
Aonyx_cinerea,4623.4,1387.02,5.6355
Aotus_trivirgatus,1002.06,300.617,9.3882
Apalone_mutica,6346.33,1903.9,14.5436
Apalone_spinifera,19370.8,5811.23,23.9425
Apathya_cappadocica,15.7132,4.71397,1.8314
Apatosaurus_spec,2.10913e7,6.32738e6,113.078
Apeltes_quadracus,3.08972,0.617943,1.1782
Aphanius_anatoliae,1.81159,0.362319,1.1535
Aphanius_danfordii,7.19044,1.43809,1.6317
Aphanius_dispar,3.64254,0.728508,1.0532
Aphanius_fasciatus,7.0637,1.41274,1.83
Aphanius_iberus,2.29468,0.458936,0.47352
Aphanius_mento,1.76918,0.353836,1.1386
Aphanopus_carbo,3202.93,640.587,5.83959
Aphanopus_intermedius,5530.64,1106.13,5.51367
Aphareus_rutilans,14985.7,2997.14,15.4493
Aphelocoma_coerulescens,81.1751,22.729,2.2192
Aphia_minuta,3.07181,0.614361,0.81336
Aphidius_rhopalosiphi,56.4545,9.59727,0.934072
Aphrastura_spinicauda,11.9495,3.34585,1.3219
Aphredoderus_sayanus,16.082,3.2164,1.5457
Aphrodroma_brevirostris,226.264,63.3539,2.6191
Aplodinotus_grunniens,22097.2,4419.45,12.8248
Aplodontia_rufa,1065.44,319.632,4.0386
Aplysia_californica,3465.06,519.76,11.2299
Apodemus_agrarius,36.5704,10.9711,1.3357
Apodemus_alpicola,29.6478,8.89433,0.94073
Apodemus_argenteus,12.7409,3.82226,1.627
Apodemus_chevrieri,42.9612,12.8884,0.96064
Apodemus_flavicollis,29.2437,8.77312,1.0142
Apodemus_mystacinus,56.9298,17.0789,1.0421
Apodemus_semotus,116.184,34.8553,3.3829
Apodemus_speciosus,34.519,10.3557,1.4156
Apodemus_sylvaticus,44.8842,13.4653,2.1507
Apodemus_witherbyi,21.5622,6.46867,0.79482
Apodora_papuana,25364.5,7609.35,15.9193
Apogon_imberbis,39.4276,7.88553,2.21342
Aporrectodea_caliginosa,2.31385,0.608706,0.44571
Aporrectodea_longa,4.5259,0.724144,0.79665
Aprion_virescens,14882.5,2976.49,15.5664
Aptenodytes_forsteri,48490.0,13577.2,11.0241
Aptenodytes_patagonicus,11701.5,3276.43,7.0983
Apteronotus_leptorhynchus,20.2507,4.05014,2.4361
Apteryx_australis,3724.7,1042.92,4.3188
Apteryx_mantelli,2457.22,688.022,11.574
Apteryx_maxima,3141.84,879.716,3.4557
Apteryx_owenii,1862.78,521.577,2.56
Apus_affinis,25.4102,7.11486,1.4506
Apus_apus,41.5351,11.6298,1.7396
Apus_pallidus,43.1126,12.0715,1.8993
Aquila_chrysaetos,5191.09,1453.51,6.4046
Aquila_rapax,1982.47,555.091,5.1478
Aquila_spilogaster,1675.29,469.08,4.7183
Aquila_verreauxii,4628.59,1296.01,5.7971
Ara_ararauna,1519.67,425.508,4.4867
Ara_glaucogularis,830.8,232.624,3.7947
Ara_macao,1001.57,280.439,3.8993
Arabibarbus_grypus,32614.4,6522.87,20.1218
Arachnothera_flavigaster,38.4201,10.7576,1.9364
Arachnothera_longirostra,11.1928,3.13398,0.98163
Aramides_cajaneus,397.997,111.439,3.5749
Arapaima_gigas,105877.0,21175.3,25.91
Arborimus_longicaudus,50.1256,15.0377,1.2849
Arborimus_pomo,44.925,13.4775,1.0418
Arca_noae,25.5302,2.29771,2.80051
Archaeopteryx_lithographica,966.514,289.954,7.286
Archaster_typicus,27.6814,2.49133,2.95861
Archboldia_papuensis,130.707,36.5979,2.6121
Archilochus_alexandri,4.15719,1.16401,1.0074
Archoplites_interruptus,8160.62,1632.12,13.4867
Archosargus_probatocephalus,12633.2,2526.65,20.4896
Archosargus_rhomboidalis,676.888,135.378,6.48545
Arcitalitrus_dorrieni,0.0416185,0.00707515,0.324578
Arctica_islandica,143.771,12.9394,4.93197
Arctictis_binturong,13938.1,4181.44,6.146
Arctocebus_calabarensis,354.36,106.308,2.6629
