chemical_cas,chemical,species,n_records,LC50_ugL,amp_k_M,amp_p_M,amp_L_m
2921882,Chlorpyrifos,Carassius_auratus,2,1623.5,0.0033209014876856235,17.3679,10.3766
2921882,Chlorpyrifos,Ceriodaphnia_dubia,28,0.073892,0.2937497576803086,1306.1892,0.024220000000000002
2921882,Chlorpyrifos,Channa_punctata,2,544.4,0.0031511837971466617,16.4884,5.893
2921882,Chlorpyrifos,Chaoborus_americanus,1,1.29,0.15982302322172742,706.5827,0.04388
2921882,Chlorpyrifos,Chironomus_riparius,3,0.34,0.036122964519984355,145.1326,0.61942
2921882,Chlorpyrifos,Chrysoperla_carnea,3,267640.0,0.13539805308794722,573.1113773386194,0.4215
2921882,Chlorpyrifos,Cirrhinus_mrigala,9,3320.0,0.0031715838868482827,16.5913,1.9455999999999998
2921882,Chlorpyrifos,Clarias_gariepinus,8,890.01,0.0365340337445092,190.8266,16.0205
2921882,Chlorpyrifos,Cloeon_dipterum,7,0.58,0.030835149724453354,181.8121,0.29154
2921882,Chlorpyrifos,Coccinella_septempunctata,3,413930.0,0.7099787167185769,3140.4042,0.32315
2921882,Chlorpyrifos,Ctenopharyngodon_idella,4,158.75,0.03824004224952543,199.8171,2.0618
2921882,Chlorpyrifos,Culex_pipiens,55,5.5,0.7097511410417019,3150.7196,0.016333
2921882,Chlorpyrifos,Cyprinodon_variegatus,4,191.62,0.020150287413280475,101.6582,0.70494
2921882,Chlorpyrifos,Cyprinus_carpio,13,8.0,0.06982722921827558,364.5424,6.3743
2921882,Chlorpyrifos,Danio_rerio,10,1453.3,0.04613294198584298,243.001,0.22178
2921882,Chlorpyrifos,Daphnia_ambigua,2,0.036946,2.1565193566037086,9596.8413,0.024116
2921882,Chlorpyrifos,Daphnia_carinata,7,0.24,0.35049342552216284,1547.7313,0.09427999999999999
2921882,Chlorpyrifos,Daphnia_longispina,2,0.4899,1.2806471152601517,5686.8257,0.054706000000000005
2921882,Chlorpyrifos,Daphnia_magna,18,0.90554,0.2727272727272727,1200.0,0.1516
2921882,Chlorpyrifos,Daphnia_pulex,12,0.52915,0.35948741007194246,1599.0,0.1426
2921882,Chlorpyrifos,Eisenia_fetida,4,2.3966e6,1.1336905808852944,4740.8319,0.3431
2921882,Chlorpyrifos,Fundulus_grandis,1,1.8,0.01760414271555996,88.8129,1.9392
2921882,Chlorpyrifos,Gambusia_affinis,22,244.54,0.02527337432886779,132.0429,1.0436
2921882,Chlorpyrifos,Gammarus_fossarum,2,5.9749,0.10444042126311988,464.8856,0.057888
2921882,Chlorpyrifos,Gammarus_pseudolimnaeus,3,0.19,0.027952071355678957,123.995,0.14742
2921882,Chlorpyrifos,Gammarus_pulex,7,0.23,0.0726239259410423,323.3844,0.11140000000000001
2921882,Chlorpyrifos,Gasterosteus_aculeatus,2,10.672,0.020840201294712795,108.9732,1.5136
2921882,Chlorpyrifos,Helicoverpa_armigera,24,5349.4,0.020872487399681196,114.6968,1.8486999999999998
2921882,Chlorpyrifos,Heteropneustes_fossilis,6,2549.5,0.0061944643894627635,32.2586,4.6861
2921882,Chlorpyrifos,Hoplobatrachus_tigerinus,4,65.238,0.002978105573835073,21.7839,8.8817
2921882,Chlorpyrifos,Hyalella_azteca,20,0.07519,0.06430588458497567,285.2572,0.19694
2921882,Chlorpyrifos,Ictalurus_punctatus,6,574.86,0.008979980036101785,50.9177,0.65076
2921882,Chlorpyrifos,Labeo_rohita,9,3320.0,0.014343846513058733,74.8928,5.5876
2921882,Chlorpyrifos,Leiostomus_xanthurus,4,8.3666,0.00552450921833924,28.8206,1.9046
2921882,Chlorpyrifos,Lepomis_cyanellus,5,40.0,0.0037160193295336682,19.3636,8.6443
2921882,Chlorpyrifos,Lepomis_macrochirus,18,4.7225,0.0047639051563901,24.8933,4.417700000000001
2921882,Chlorpyrifos,Leuresthes_tenuis,25,1.7,0.02482089039455858,129.7307,0.81053
2921882,Chlorpyrifos,Litopenaeus_stylirostris,1,2265.7,0.01417247188348593,62.8558,0.10301
2921882,Chlorpyrifos,Macrobrachium_rosenbergii,2,0.45826,0.035567907585484795,157.877,0.75061
2921882,Chlorpyrifos,Melanotaenia_fluviatilis,4,203.07,0.04999011716534744,261.3106,1.2824
2921882,Chlorpyrifos,Menidia_beryllina,1,4.2,0.09126481833857349,476.9745,0.3877
2921882,Chlorpyrifos,Menidia_menidia,27,2.6,0.14659403773578844,766.3101,0.36940999999999996
2921882,Chlorpyrifos,Morone_saxatilis,2,24.083,0.08174021854849561,428.2813,12.064
2921882,Chlorpyrifos,Mugil_cephalus,1,5.4,0.0037281005223024533,19.4916,14.0149
2921882,Chlorpyrifos,Mytilus_galloprovincialis,1,22500.0,0.0038005567361746075,9.0477,0.37593
2921882,Chlorpyrifos,Neomysis_integer,3,0.15,0.2178860082642655,968.1748,0.1246
2921882,Chlorpyrifos,Notemigonus_crysoleucas,2,39.686,0.004129860663544428,21.5664,4.3708
2921882,Chlorpyrifos,Nothobranchius_furzeri,8,18124.0,0.2945329461086886,1541.0273,0.52981
2921882,Chlorpyrifos,Notonecta_maculata,4,13.624,0.0780920856717392,346.6015,0.36275
2921882,Chlorpyrifos,Oncorhynchus_mykiss,18,15.0,0.06539736492652932,343.8644,4.3981
2921882,Chlorpyrifos,Opsanus_beta,2,188.04,0.003800859463803787,19.8702,4.2838
2921882,Chlorpyrifos,Oreochromis_mossambicus,14,28.9,0.0025498337005197746,13.3524,6.101
2921882,Chlorpyrifos,Oreochromis_niloticus,12,118.49,0.029413401117989325,153.7862,6.9596
2921882,Chlorpyrifos,Oryzias_latipes,5,120.0,0.06987798696149031,363.9773,0.18883
2921882,Chlorpyrifos,Paratya_australiensis,16,0.22361,0.14678544642893704,652.3937,0.42316
2921882,Chlorpyrifos,Pimephales_promelas,15,170.0,0.0567493727280711,334.7915,0.20018
2921882,Chlorpyrifos,Poecilia_reticulata,4,21.918,0.011307274615239863,59.0125,0.72018
2921882,Chlorpyrifos,Pomacea_canaliculata,1,978.0,0.07925269629261168,310.7509,3.2054
2921882,Chlorpyrifos,Procambarus_clarkii,5,23.0,1.0418922898925578,4632.1183,1.0486
2921882,Chlorpyrifos,Pseudacris_regilla,1,121.87,0.005046711533881843,36.9522,1.1968
2921882,Chlorpyrifos,Pungitius_pungitius,2,5.1759,0.052229327311927934,273.0511,0.82622
2921882,Chlorpyrifos,Puntius_chola,5,236.0,0.009807963259836058,51.1605,1.156
2921882,Chlorpyrifos,Rana_dalmatina,1,5174.0,0.028892723375201615,211.257,2.7347
2921882,Chlorpyrifos,Rhinella_arenarum,1,23300.0,0.010145060748616576,74.5456,5.274699999999999
2921882,Chlorpyrifos,Ruditapes_decussatus,1,308.06,0.0023372953119203082,5.4841,1.0253
2921882,Chlorpyrifos,Salvelinus_namaycush,10,215.72,0.006796700098517356,35.5698,4.1985
2921882,Chlorpyrifos,Sander_vitreus,11,37.0,0.003933886712661335,20.5692,2.9941
2921882,Chlorpyrifos,Simocephalus_vetulus,5,0.15,0.411574621791123,1829.2958,0.048926
2921882,Chlorpyrifos,Thamnocephalus_platyurus,1,0.53,2.0825507879851526,9259.5177,0.066325
2921882,Chlorpyrifos,Triops_longicaudatus,1,4.0,0.7569382273948075,3382.0,0.4247
2921882,Chlorpyrifos,Xenopus_laevis,5,2410.0,0.020845839017735335,152.8,4.516
2921882,Chlorpyrifos,Zacco_platypus,1,1700.0,0.008624168534795881,44.9833,1.1889
63252,Carbaryl,Acipenser_brevirostrum,3,1949.0,0.004035677227463407,21.0381,16.9608
63252,Carbaryl,Aedes_aegypti,5,560.0,1.9238071189303336,8430.0545,0.012842
63252,Carbaryl,Alosa_sapidissima,1,80.0,0.06357882623705409,331.5,3.3619999999999997
63252,Carbaryl,Ambystoma_maculatum,1,8034.0,0.0026570494740384564,19.4194,2.1406
63252,Carbaryl,Ameiurus_melas,2,20000.0,0.0019130639330116879,10.0472,13.7951
63252,Carbaryl,Americamysis_bahia,14,9.1995,0.48524754580446533,2097.09,0.082353
63252,Carbaryl,Anabas_testudineus,2,10488.0,0.05094456213524228,266.3508,0.5224
63252,Carbaryl,Anaxyrus_boreas,2,12306.0,0.019245785258867373,140.8249,3.1801000000000004
63252,Carbaryl,Anguilla_japonica,4,23000.0,0.003925598162742606,20.5164,8.0414
63252,Carbaryl,Arenicola_marina,1,7200.0,0.0038334755584375577,15.8222,0.66898
63252,Carbaryl,Bombina_orientalis,1,20100.0,0.007847979002704977,57.4567,3.0348999999999995
63252,Carbaryl,Bosmina_fatalis,1,4.075,0.3153862246086789,1400.0,0.025405614556915496
63252,Carbaryl,Bosmina_longirostris,1,8.597,0.31538634827663886,1400.0,0.028900000000000002
63252,Carbaryl,Carassius_auratus,10,16192.0,0.0033209014876856235,17.3679,10.3766
63252,Carbaryl,Ceriodaphnia_dubia,3,11.6,0.2937497576803086,1306.1892,0.024220000000000002
63252,Carbaryl,Channa_punctata,18,14707.0,0.0031511837971466617,16.4884,5.893
63252,Carbaryl,Channa_striata,1,17500.0,0.0025951850574036086,13.5931,13.9121
63252,Carbaryl,Chironomus_riparius,19,110.0,0.036122964519984355,145.1326,0.61942
63252,Carbaryl,Chrysoperla_carnea,3,519300.0,0.13539805308794722,573.1113773386194,0.4215
