1563662,2371,Ceriodaphnia_dubia,Crustaceans;Standard Test Species,2.53
121755,30,Lepomis_cyanellus,Fish;Standard Test Species,231
2921882,2371,Ceriodaphnia_dubia,Crustaceans;Standard Test Species,0.07
63252,10300,Spirostomum_ambiguum,Other Invertebrates,12900
63252,422,Cirrhinus_mrigala,Fish,5700
2921882,1770,Aedes_albopictus,Insects/Spiders;U.S. Invasive Species,2130
2921882,16,Gambusia_affinis,Fish,297.63
121755,21,Cyprinus_carpio,Fish;Standard Test Species,5480
63252,3,Salvelinus_fontinalis,Fish;Standard Test Species,1130
2921882,2498,Glyptotendipes_paripes,Insects/Spiders,12
2921882,808,Zacco_platypus,Fish,1700
121755,81,Chironomus_plumosus,Insects/Spiders,102.4
2921882,134,Oreochromis_mossambicus,Fish,4.8
121755,397,Culex_quinquefasciatus,Insects/Spiders,100
1563662,964,Chironomus_riparius,Insects/Spiders;Standard Test Species,56
2921882,374,Lampsilis_siliquoidea,Molluscs,250
2921882,230,Aedes_aegypti,Insects/Spiders;Standard Test Species,38.7
63252,4,Oncorhynchus_mykiss,Fish;Standard Test Species;U.S. Threatened and Endangered Species,1220
121755,5940,Utterbackia_imbecillis,Molluscs;Standard Test Species,366000
121755,1673,Culex_nigripalpus,Insects/Spiders,26
121755,230,Aedes_aegypti,Insects/Spiders;Standard Test Species,354.9
2921882,1173,Simulium_vittatum,Insects/Spiders,0.06
63252,86,Cyprinodon_variegatus,Fish;Standard Test Species,5900
63252,4,Oncorhynchus_mykiss,Fish;Standard Test Species;U.S. Threatened and Endangered Species,4410
63252,2422,Anopheles_stephensi,Insects/Spiders,450
2921882,11531,Plutella_xylostella,Insects/Spiders,2074440
63252,341,Menidia_beryllina,Fish;Standard Test Species,1600
2921882,4668,Eriocheir_sinensis,Crustaceans;U.S. Invasive Species,200
2921882,493,Tilapia_aurea,Fish,418
2921882,16175,Spodoptera_litura,Insects/Spiders,22300
121755,39,Palaemonetes_kadiakensis,Crustaceans,12
2921882,11921,Gammarus_palustris,Crustaceans,0.6
