species,n_matrices,mean_log_damping,mean_generation_time,class,order,family
Halichoerus grypus,2,0.13142,16.1559,Mammalia,Carnivora,Phocidae
Haliotis laevigata,1,0.19928,8.1141,Gastropoda,Vetigastropoda,Haliotidae
Haliotis rufescens,1,0.14096,9.1832,Gastropoda,Vetigastropoda,Haliotidae
Helioseris cucullata,3,0.86851,,Anthozoa,Scleractinia,Agariciidae
Hippocamelus bisulcus,3,0.48853,11.9076,Mammalia,Artiodactyla,Cervidae
Hirundo rustica,1,0.2871,2.9221,Aves,Passeriformes,Hirundinidae
Homo sapiens,26,0.09017,5.478,Mammalia,Primates,Hominidae
Hoplocephalus bungaroides,1,0.09621,9.9785,Reptilia,Squamata,Elapidae
Huso huso,1,0.01349,52.6148,Actinopterygii,Acipenseriformes,Acipenseridae
Hybognathus argyritis,2,0.08789,2.2832,Actinopterygii,Cypriniformes,Cyprinidae
Hydroprogne Hydroprogne caspia,1,0.48907,6.0605,Aves,Charadriiformes,Laridae
Hystrix refossa,1,0.17727,4.6558,Mammalia,Rodentia,Hystricidae
Isurus oxyrinchus,2,0.06893,17.0461,Elasmobranchii,Lamniformes,Lamnidae
Jynx torquilla,1,15.9572,1.6177,Aves,Piciformes,Picidae
Kinosternon flavescens,1,0.23207,12.9044,Reptilia,Testudines,Kinosternidae
Kinosternon integrum,3,0.09606,21.8752,Reptilia,Testudines,Kinosternidae
Kinosternon subrubrum,3,0.05467,11.9232,Reptilia,Testudines,Kinosternidae
Lagopus leucura,8,0.9397,1.7555,Aves,Galliformes,Phasianidae
Lagopus muta,9,1.04789,2.6465,Aves,Galliformes,Phasianidae
Lagothrix lagotricha,1,0.06702,21.2148,Mammalia,Primates,Atelidae
Larus ridibundus,1,0.48447,8.2339,Aves,Charadriiformes,Laridae
Lemmus lemmus,2,0.23453,4.6574,Mammalia,Rodentia,Muridae
Lepetodrilus fucensis,4,0.23289,8.0848,Gastropoda,Vetigastropoda,Lepetodrilidae
Lepisosteus oculatus,1,0.59898,6.6409,Actinopterygii,Lepisosteiformes,Lepisosteidae
