species,k_M,E_m,lambda_max,g,T_A,T_typical,Ww_i,CTmax,CTmin,lat,class
Kuhlia_sandvicensis,0.01725155981896002,18638.104598543203,0.00603262791050053,0.34968593992703645,8000.0,300.54999999999995,314.2865308568054,34.0,14.1,20.0,Actinopteri
Labidesthes_sicculus,0.09381253223656576,27656.008028032495,0.054947924574135366,0.585720513711046,8000.0,293.15,16.312541637468264,36.0,,39.0,Actinopteri
Lacerta_agilis,0.0049710571014080366,2659.4619751413175,0.02013735472096821,4.050920017648633,8000.0,296.65,12.505059947623108,43.9,5.9,48.52,Lepidosauria
Lacerta_schreiberi,0.003970417272024559,2583.7718822424713,0.014943434006340727,3.7636935824432656,8000.0,305.15,36.975181256537866,43.0,,43.13,Lepidosauria
Lagopus_lagopus,0.6460333606608397,494089.67761841405,0.00962734801050293,0.014902245915992532,9000.0,313.84999999999997,603.3493033020585,,0.6,,Aves
Lagopus_leucura,0.3227103990866982,246082.44977442062,0.009770281357077361,0.030275694197423472,9000.0,313.84999999999997,348.67061733338284,38.0,9.0,48.41,Aves
Lagopus_muta,0.21022167316627643,143278.39983976164,0.010988132635253053,0.05226926638797088,9000.0,313.84999999999997,546.4323854421459,,-4.5,,Aves
Lagorchestes_conspicillatus,0.006725219449093298,21572.815775142364,0.003181853274401189,0.47312259450956207,9000.0,309.15,4589.419112628138,35.0,25.0,-20.45,Mammalia
Lanius_collaris,0.05729387911619192,17869.694472339015,0.024728039041703634,0.43160001422761407,9000.0,314.75,43.20969498771032,35.0,25.0,-29.53,Aves
Lasiorhinus_latifrons,0.021305772015868144,96323.95718357396,0.0017346574598494841,0.08141725437395761,8000.0,308.45,32016.06662386155,,25.5,,Mammalia
Lasiurus_cinereus,0.035991152556739195,26303.85692401999,0.01588700441729836,0.4414141612234528,8000.0,307.95,29.657640505438167,34.0,30.0,35.01,Mammalia
Laternula_elliptica,0.017610766045548655,3725.4074825744196,0.016843945068664167,0.956457261716999,9000.0,273.65,113.55760639246417,5.0,,-67.5,Bivalvia
Leipoa_ocellata,0.08090106332288254,204346.69142417546,0.0065204115669822696,0.08059735310225519,9000.0,313.54999999999995,1936.50722208253,37.0,22.0,-34.55,Aves
Lemmiscus_curtatus,0.3725514874213338,130219.01600855989,0.024201448775439807,0.06496135324261743,8000.0,310.65,30.970498202728642,33.0,25.0,42.7,Mammalia
